CustomerID,num_orders,total_spent,avg_order_value,top_product
12346,1,77183.6,77183.6,23166
12347,7,4310.0,615.71,22375
12348,4,1797.24,449.31,POST
12349,1,1757.55,1757.55,POST
12350,1,334.4,334.4,POST
12352,8,2506.04,313.26,POST
12353,1,89.0,89.0,22890
12354,1,1079.4,1079.4,21243
12355,1,459.4,459.4,23076
12356,3,2811.43,937.14,22423
12357,1,6207.67,6207.67,85014B
12358,2,1168.06,584.03,POST
12359,4,6372.58,1593.15,22423
12360,3,2662.06,887.35,POST
12361,1,189.9,189.9,22629
12362,10,5226.23,522.62,POST
12363,2,552.0,276.0,23236
12364,4,1313.1,328.28,POST
12365,2,641.38,320.69,M
12367,1,168.9,168.9,22630
12370,4,3545.69,886.42,22784
12371,2,1887.96,943.98,POST
12372,3,1298.04,432.68,22326
12373,1,364.6,364.6,POST
12374,1,742.93,742.93,POST
12375,2,457.5,228.75,23200
12377,2,1628.12,814.06,22544
12378,1,4008.62,4008.62,23109
12379,2,852.24,426.12,POST
12380,4,2724.81,681.2,POST
12381,5,1845.31,369.06,POST
12383,5,1850.56,370.11,POST
12384,2,585.27,292.64,POST
12386,2,401.9,200.95,21421
12388,6,2780.66,463.44,47566
12390,1,549.84,549.84,POST
12391,1,460.89,460.89,85123A
12393,4,1582.6,395.65,20726
12394,2,1272.48,636.24,POST
12395,12,3018.63,251.55,POST
12397,2,2409.9,1204.95,POST
12398,1,1635.66,1635.66,POST
12399,4,1108.65,277.16,POST
12401,1,84.3,84.3,22423
12402,1,225.6,225.6,22326
12403,1,427.7,427.7,84997D
12405,1,1710.39,1710.39,POST
12406,2,3415.3,1707.65,84997A
12407,5,1708.12,341.62,POST
12408,5,2888.55,577.71,POST
12409,3,11072.67,3690.89,23298
12410,2,693.33,346.67,POST
12412,3,1226.88,408.96,POST
12413,3,758.1,252.7,85099B
12414,3,562.41,187.47,POST
12415,21,124914.53,5948.31,22630
12417,9,3649.1,405.46,POST
12418,1,668.58,668.58,22634
12420,1,600.39,600.39,22061
12421,4,807.04,201.76,POST
12422,3,803.56,267.85,POST
12423,8,1859.31,232.41,POST
12424,2,1760.96,880.48,22222
12425,1,777.2,777.2,20914
12426,1,582.73,582.73,POST
12427,3,825.8,275.27,POST
12428,9,7956.46,884.05,POST
12429,4,3750.4,937.6,POST
12430,1,256.4,256.4,22622
12431,15,6487.45,432.5,21731
12432,5,5059.32,1011.86,22371
12433,7,13375.87,1910.84,22197
12434,2,806.14,403.07,22786
12435,2,7829.89,3914.95,22625
12436,1,509.01,509.01,POST
12437,18,4951.41,275.08,POST
12438,2,2906.85,1453.43,POST
12441,1,173.55,173.55,47566B
12442,1,172.06,172.06,21121
12444,5,5005.46,1001.09,POST
12445,1,133.4,133.4,POST
12446,1,1002.31,1002.31,21340
12447,1,476.49,476.49,POST
12448,1,449.45,449.45,POST
12449,4,4067.29,1016.82,POST
12450,2,197.88,98.94,23209
12451,5,9035.52,1807.1,22551
12452,2,430.57,215.29,POST
12453,1,707.09,707.09,21121
12454,1,3528.34,3528.34,23064
12455,6,2466.86,411.14,POST
12456,3,3181.04,1060.35,POST
12457,7,2363.23,337.6,POST
12458,2,947.4,473.7,POST
12461,2,826.88,413.44,POST
12462,2,1189.59,594.8,POST
12463,4,1344.78,336.2,POST
12464,8,1212.05,151.51,POST
12465,2,742.19,371.1,POST
12468,2,729.54,364.77,POST
12471,30,19824.05,660.8,POST
12472,7,6572.11,938.87,POST
12473,5,3938.55,787.71,POST
12474,18,7375.79,409.77,POST
12475,1,723.38,723.38,POST
12476,11,6816.42,619.67,POST
12477,6,13219.74,2203.29,22212
12478,1,680.99,680.99,POST
12479,1,527.2,527.2,POST
12480,4,3281.63,820.41,POST
12481,10,5596.32,559.63,POST
12483,8,2484.98,310.62,POST
12484,6,4541.72,756.95,POST
12488,3,1298.66,432.89,21731
12489,1,334.93,334.93,POST
12490,10,5417.93,541.79,POST
12491,1,460.4,460.4,20973
12492,2,263.21,131.61,POST
12493,2,433.74,216.87,23206
12494,7,1246.1,178.01,POST
12497,1,1043.1,1043.1,22632
12498,3,403.7,134.57,POST
12500,11,4257.82,387.07,POST
12501,1,2169.39,2169.39,POST
12502,5,3723.87,744.77,POST
12504,2,482.05,241.03,22236
