CustomerID,InvoiceNo,InvoiceTimestamp,first_product,last_product,order_value,order_number,days_between_orders
12346,541431,2011-01-18T10:01:00.000-05:00,23166,23166,77183.6,1,
12347,537626,2010-12-07T14:57:00.000-05:00,85116,23508,711.79,1,
12347,542237,2011-01-26T14:30:00.000-05:00,85116,23508,475.39,2,50
12347,549222,2011-04-07T10:43:00.000-04:00,85116,23508,636.25,3,71
12347,556201,2011-06-09T13:01:00.000-04:00,85116,23508,382.52,4,63
12347,562032,2011-08-02T08:48:00.000-04:00,85116,23508,584.91,5,54
12347,573511,2011-10-31T12:25:00.000-04:00,85116,23508,1294.32,6,90
12347,581180,2011-12-07T15:52:00.000-05:00,85116,23508,224.82,7,37
12348,539318,2010-12-16T19:09:00.000-05:00,84992,POST,892.8,1,
12348,541998,2011-01-25T10:42:00.000-05:00,84992,POST,227.44,2,40
12348,548955,2011-04-05T10:47:00.000-04:00,84992,POST,367.0,3,70
12348,568172,2011-09-25T13:13:00.000-04:00,84992,POST,310.0,4,173
12349,577609,2011-11-21T09:51:00.000-05:00,23112,POST,1757.55,1,
12350,543037,2011-02-02T16:01:00.000-05:00,21908,20615,334.4,1,
12352,544156,2011-02-16T12:33:00.000-05:00,21380,POST,296.5,1,
12352,545323,2011-03-01T14:57:00.000-05:00,21380,POST,144.35,2,13
12352,545332,2011-03-01T15:52:00.000-05:00,21380,POST,840.3,3,0
12352,546869,2011-03-17T16:00:00.000-04:00,21380,POST,120.33,4,16
12352,547390,2011-03-22T16:08:00.000-04:00,21380,POST,160.33,5,5
12352,567505,2011-09-20T14:34:00.000-04:00,21380,POST,366.25,6,182
12352,568699,2011-09-28T14:58:00.000-04:00,21380,POST,266.25,7,8
12352,574275,2011-11-03T14:37:00.000-04:00,21380,POST,311.73,8,36
12353,553900,2011-05-19T17:47:00.000-04:00,37449,37450,89.0,1,
12354,550911,2011-04-21T13:11:00.000-04:00,23201,22661,1079.4,1,
12355,552449,2011-05-09T13:49:00.000-04:00,22693,72802C,459.4,1,
12356,541430,2011-01-18T09:50:00.000-05:00,22138,21843,2271.62,1,
12356,549435,2011-04-08T12:33:00.000-04:00,22138,21843,481.46,2,80
12356,576895,2011-11-17T08:40:00.000-05:00,22138,21843,58.35,3,223
12357,574740,2011-11-06T16:07:00.000-05:00,22064,21231,6207.67,1,
12358,559707,2011-07-12T10:04:00.000-04:00,15060B,POST,484.86,1,
12358,581232,2011-12-08T10:26:00.000-05:00,15060B,POST,683.2,2,149
12359,540946,2011-01-12T12:43:00.000-05:00,22511,23503,547.5,1,
12359,543370,2011-02-07T14:51:00.000-05:00,22511,23503,1838.91,2,26
